season,tournament,level,surface,date,match_id,player1,player2,winner,score,round,p1_slug,p2_slug,p1_aces,p2_aces,p1_df,p2_df,p1_1stin_pct,p2_1stin_pct,p1_1stwon,p1_1sttotal,p2_1stwon,p2_1sttotal,p1_2ndwon,p1_2ndtotal,p2_2ndwon,p2_2ndtotal,p1_bpsaved,p1_bpfaced,p2_bpsaved,p2_bpfaced
2025,Brisbane,atp250,hard,2025-01-01,082MmtQE,Bonzi B.,Jarry N.,Jarry N.,0:2,0,bonzi-benjamin,jarry-nicolas,4,10,,,,,18,35,27,30,9,16,6,13,,,,
2025,Brisbane,atp250,hard,2025-01-01,UmSe7nv2,Nishioka Y.,Lehecka J.,Lehecka J.,1:2,1,nishioka-yoshihito,lehecka-jiri,3,17,,,,,49,75,45,51,16,32,17,30,,,,
2025,Brisbane,atp250,hard,2025-01-01,n5xmZtBL,Thompson J.,Michelsen A.,Michelsen A.,2:0,2,thompson-jordan,michelsen-alex,3,4,,,,,28,37,29,46,15,23,9,19,,,,
2025,Brisbane,atp250,hard,2025-01-01,bPy8mhmT,Vukic A.,Dimitrov G.,Dimitrov G.,0:2,0,vukic-aleksandar,dimitrov-grigor,5,12,,,,,31,44,31,33,15,30,13,20,,,,
2025,Brisbane,atp250,hard,2025-01-02,bTPLhH4k,Djokovic N.,Monfils G.,Djokovic N.,2:0,2,djokovic-novak,monfils-gael,5,4,,,,,26,34,21,34,12,18,6,14,,,,
2025,Brisbane,atp250,hard,2025-01-02,dbfr4nc5,Opelka R.,Arnaldi M.,Arnaldi M.,2:0,2,opelka-reilly,arnaldi-matteo,25,8,,,,,49,58,34,40,13,28,21,35,,,,
2025,Brisbane,atp250,hard,2025-01-02,CznOFSll,Tiafoe F.,Mpetshi Perricard G.,Mpetshi Perricard G.,0:2,0,tiafoe-frances,mpetshi-perricard-giovanni,6,20,,,,,31,38,40,50,16,34,11,25,,,,
2025,Brisbane,atp250,hard,2025-01-02,61HqNkuH,Mensik J.,Lajovic D.,Lajovic D.,2:0,2,mensik-jakub,lajovic-dusan,4,5,,,,,27,38,21,43,9,13,6,12,,,,
2025,Brisbane,atp250,hard,2025-01-03,KvQR1Ndm,Djokovic N.,Opelka R.,Opelka R.,0:2,0,djokovic-novak,opelka-reilly,8,16,,,,,38,53,38,49,12,20,13,15,,,,
2025,Brisbane,atp250,hard,2025-01-03,vZeZ60L0,Mpetshi Perricard G.,Mensik J.,Mensik J.,2:0,2,mpetshi-perricard-giovanni,mensik-jakub,19,10,,,,,37,47,38,48,18,25,16,30,,,,
2025,Brisbane,atp250,hard,2025-01-03,KE8MDUqT,Jarry N.,Lehecka J.,Lehecka J.,0:2,0,jarry-nicolas,lehecka-jiri,8,10,,,,,28,39,31,39,11,23,14,27,,,,
2025,Brisbane,atp250,hard,2025-01-03,hb9eJ1D7,Thompson J.,Dimitrov G.,Dimitrov G.,0:1,0,thompson-jordan,dimitrov-grigor,1,1,,,,,7,12,19,21,6,14,5,10,,,,
