tournament,level,surface,date,match_id,player1,player2,winner,score,round,p1_slug,p2_slug,p1_aces,p2_aces,p1_df,p2_df,p1_1stin_pct,p2_1stin_pct,p1_1stwon,p1_1sttotal,p2_1stwon,p2_1sttotal,p1_2ndwon,p1_2ndtotal,p2_2ndwon,p2_2ndtotal,p1_bpsaved,p1_bpfaced,p2_bpsaved,p2_bpfaced
Australian Open,grand_slam,hard,2025-01-12,dOTwQRX0,Onclin G.,Opelka R.,Opelka R.,1:3,1,onclin-gauthier,opelka-reilly,2,38,,,,,54,83,85,115,20,38,15,45,,,,
Australian Open,grand_slam,hard,2025-01-12,6y0Q1I2S,Nagal S.,Machac T.,Machac T.,0:3,0,nagal-sumit,machac-tomas,0,7,,,,,31,58,31,40,10,27,25,42,,,,
Australian Open,grand_slam,hard,2025-01-12,QRiI3vYF,Lehecka J.,Tu L.,Tu L.,3:1,3,lehecka-jiri,tu-li,13,8,,,,,54,67,50,66,26,36,21,41,,,,
Australian Open,grand_slam,hard,2025-01-12,hd0v9Z9e,Gaston H.,Jasika O.,Jasika O.,3:1,3,gaston-hugo,jasika-omar,12,2,,,,,46,61,51,85,22,40,9,24,,,,
Australian Open,grand_slam,hard,2025-01-12,tzGRsDwK,Ruud C.,Munar J.,Munar J.,3:2,3,ruud-casper,munar-jaume,7,10,,,,,57,83,66,90,23,40,18,48,,,,
Australian Open,grand_slam,hard,2025-01-12,2yavO52D,Nishikori K.,Monteiro T.,Monteiro T.,3:2,3,nishikori-kei,monteiro-thiago,17,21,,,,,82,101,80,108,22,39,31,61,,,,
Australian Open,grand_slam,hard,2025-01-12,4QlaX9uR,Humbert U.,Gigante M.,Gigante M.,3:0,3,humbert-ugo,gigante-matteo,9,16,,,,,50,67,58,75,25,40,21,44,,,,
Australian Open,grand_slam,hard,2025-01-12,zqdvgQ1m,Habib H.,Yunchaokete B.,Yunchaokete B.,3:0,3,habib-hady,yunchaokete-bu,18,13,,,,,52,59,44,64,23,30,30,48,,,,
Australian Open,grand_slam,hard,2025-01-12,nBTEWnVI,Walton A.,Halys Q.,Halys Q.,2:3,2,walton-adam,halys-quentin,11,31,,,,,78,105,83,99,35,52,32,65,,,,
Australian Open,grand_slam,hard,2025-01-12,WxYYyr7b,Virtanen O.,Arthur F.,Arthur F.,1:3,1,virtanen-otto,arthur-fils,11,15,,,,,59,80,60,74,32,66,23,42,,,,
Australian Open,grand_slam,hard,2025-01-12,voQ6Y806,Martinez P.,Darderi L.,Darderi L.,1:0,1,martinez-pedro,darderi-luciano,1,3,,,,,23,32,20,36,6,10,6,21,,,,
Australian Open,grand_slam,hard,2025-01-12,IVybzVVg,Pouille L.,Zverev A.,Zverev A.,0:3,0,pouille-lucas,zverev-alexander,3,18,,,,,45,62,50,64,21,51,15,24,,,,
Australian Open,grand_slam,hard,2025-01-13,zcLRXOo3,Sinner J.,Jarry N.,Sinner J.,3:0,3,sinner-jannik,jarry-nicolas,7,13,,,,,48,58,52,71,30,43,13,27,,,,
Australian Open,grand_slam,hard,2025-01-13,djdopgyQ,Schoolkate T.,Daniel T.,Daniel T.,3:1,3,schoolkate-tristan,daniel-taro,23,8,,,,,61,72,63,86,35,61,20,42,,,,
Australian Open,grand_slam,hard,2025-01-13,WjTO9CaD,Tsitsipas S.,Michelsen A.,Michelsen A.,1:3,1,tsitsipas-stefanos,michelsen-alex,13,8,,,,,50,72,59,85,23,44,20,39,,,,
Australian Open,grand_slam,hard,2025-01-13,EuCmFAJr,Mccabe J.,Landaluce M.,Landaluce M.,3:0,3,mccabe-james,landaluce-martin,14,9,,,,,52,63,41,54,12,19,15,38,,,,
Australian Open,grand_slam,hard,2025-01-13,viVt4mSb,Seyboth Wild T.,Marozsan F.,Marozsan F.,2:3,2,seyboth-wild-thiago,marozsan-fabian,23,20,,,,,102,132,88,118,24,58,32,47,,,,
Australian Open,grand_slam,hard,2025-01-13,h0dOo6CU,Rinderknech A.,Tiafoe F.,Tiafoe F.,2:3,2,rinderknech-arthur,tiafoe-frances,33,14,,,,,79,94,77,98,30,67,40,71,,,,
Australian Open,grand_slam,hard,2025-01-13,27odddQk,Djokovic N.,Basavareddy N.,Basavareddy N.,3:1,3,djokovic-novak,basavareddy-nishesh,23,4,,,,,56,72,51,71,21,34,26,58,,,,
Australian Open,grand_slam,hard,2025-01-13,4058bnvQ,Faria J.,Kotov P.,Kotov P.,3:0,3,faria-jaime,kotov-pavel,10,9,,,,,34,44,29,42,20,26,15,42,,,,
Australian Open,grand_slam,hard,2025-01-13,QuXjIwm9,Goffin D.,Bonzi B.,Bonzi B.,0:3,0,goffin-david,bonzi-benjamin,8,12,,,,,27,43,43,62,16,42,23,43,,,,
Australian Open,grand_slam,hard,2025-01-13,dKDp9PRh,Passaro F.,Dimitrov G.,Dimitrov G.,1:0,1,passaro-francesco,dimitrov-grigor,5,6,,,,,16,22,25,38,12,17,7,16,,,,
Australian Open,grand_slam,hard,2025-01-13,I1lA5033,Draper J.,Navone M.,Navone M.,3:2,3,draper-jack,navone-mariano,13,5,,,,,62,93,64,108,32,67,27,52,,,,
Australian Open,grand_slam,hard,2025-01-13,dU6VAeuq,Kokkinakis T.,Safiullin R.,Safiullin R.,3:1,3,kokkinakis-thanasi,safiullin-roman,23,14,,,,,76,106,59,91,18,52,18,39,,,,
Australian Open,grand_slam,hard,2025-01-13,neLaGHHL,Dzumhur D.,Vukic A.,Vukic A.,2:3,2,dzumhur-damir,vukic-aleksandar,3,24,,,,,52,94,57,76,34,55,30,55,,,,
Australian Open,grand_slam,hard,2025-01-13,MuW4vRnf,Klein L.,Korda S.,Korda S.,1:3,1,klein-lukas,korda-sebastian,11,7,,,,,45,64,44,68,24,44,25,45,,,,
Australian Open,grand_slam,hard,2025-01-13,EFSdtmIs,Thompson J.,Koepfer D.,Koepfer D.,3:1,3,thompson-jordan,koepfer-dominik,18,5,,,,,52,67,51,69,36,61,24,47,,,,
Australian Open,grand_slam,hard,2025-01-13,fJipVZgE,Muller A.,Borges N.,Borges N.,1:3,1,muller-alexandre,borges-nuno,7,20,,,,,58,83,66,85,19,42,21,38,,,,
Australian Open,grand_slam,hard,2025-01-13,lhNLzqnJ,Nishioka Y.,Dougaz A.,Dougaz A.,3:1,3,nishioka-yoshihito,dougaz-aziz,3,18,,,,,50,70,63,85,31,47,16,50,,,,
Australian Open,grand_slam,hard,2025-01-13,hEZWLVG0,Shevchenko A.,Alcaraz Garfia C.,Alcaraz Garfia C.,0:3,0,shevchenko-alexander,alcaraz-garfia-carlos,0,6,,,,,28,53,33,48,14,36,22,33,,,,
Australian Open,grand_slam,hard,2025-01-13,UsiQo9fK,Basilashvili N.,Mensik J.,Mensik J.,1:3,1,basilashvili-nikoloz,mensik-jakub,10,31,,,,,45,58,56,68,24,58,29,57,,,,
Australian Open,grand_slam,hard,2025-01-13,plWONinl,Shang J.,Davidovich Fokina A.,Davidovich Fokina A.,0:1,0,shang-juncheng,davidovich-fokina-alejandro,3,0,,,,,29,51,21,30,14,38,15,28,,,,
Australian Open,grand_slam,hard,2025-01-13,0GfhTDOQ,Struff Jan L.,Auger Aliassime F.,Auger Aliassime F.,1:3,1,struff-jan-lennard,auger-aliassime-felix,15,19,,,,,35,67,52,65,22,47,14,28,,,,
Australian Open,grand_slam,hard,2025-01-13,A5Ykxi1s,Tabilo A.,Carballes Baena R.,Carballes Baena R.,1:3,1,tabilo-alejandro,carballes-baena-roberto,9,7,,,,,46,66,49,75,17,44,23,38,,,,
Australian Open,grand_slam,hard,2025-01-13,ltTuK9oD,Duckworth J.,Stricker D.,Stricker D.,3:0,3,duckworth-james,stricker-dominic,10,7,,,,,34,40,30,45,19,29,15,33,,,,
Australian Open,grand_slam,hard,2025-01-13,zVUkYa6N,O Connell C.,Paul T.,Paul T.,2:3,2,o-connell-christopher,paul-tommy,11,15,,,,,76,114,73,91,29,64,29,58,,,,
Australian Open,grand_slam,hard,2025-01-13,bPZQw4xn,Baez S.,Cazaux A.,Cazaux A.,2:3,2,baez-sebastian,cazaux-arthur,1,10,,,,,65,97,60,84,15,32,33,59,,,,
Australian Open,grand_slam,hard,2025-01-13,S4RszMyB,Fearnley J.,Kyrgios N.,Kyrgios N.,3:0,3,fearnley-jacob,kyrgios-nick,17,13,,,,,55,68,60,87,27,42,14,32,,,,
Australian Open,grand_slam,hard,2025-01-14,AZX3XFiK,Giron M.,Hanfmann Y.,Hanfmann Y.,3:1,3,giron-marcos,hanfmann-yannick,9,11,,,,,48,70,57,87,25,46,21,51,,,,
Australian Open,grand_slam,hard,2025-01-14,pGUYzkbC,Etcheverry Tomas M.,Cobolli F.,Cobolli F.,3:1,3,etcheverry-tomas-martin,cobolli-flavio,16,10,,,,,64,84,52,86,30,52,37,64,,,,
Australian Open,grand_slam,hard,2025-01-14,C4Tl2RdB,Hurkacz H.,Griekspoor T.,Griekspoor T.,3:0,3,hurkacz-hubert,griekspoor-tallon,14,10,,,,,49,63,50,71,13,20,22,49,,,,
Australian Open,grand_slam,hard,2025-01-14,Uu8FqJtp,Kecmanovic M.,Lajovic D.,Lajovic D.,3:2,3,kecmanovic-miomir,lajovic-dusan,10,17,,,,,71,102,69,101,36,70,29,57,,,,
Australian Open,grand_slam,hard,2025-01-14,4d9aMkqJ,Berrettini M.,Norrie C.,Norrie C.,3:1,3,berrettini-matteo,norrie-cameron,32,13,,,,,68,80,61,91,16,34,22,47,,,,
Australian Open,grand_slam,hard,2025-01-14,tIOZRgFs,Zhang Z.,Rune H.,Rune H.,2:3,2,zhang-zhizhen,rune-holger,21,10,,,,,71,92,62,86,22,50,31,45,,,,
Australian Open,grand_slam,hard,2025-01-14,x6BNscBd,Diallo G.,Nardi L.,Nardi L.,3:2,3,diallo-gabriel,nardi-luca,21,9,,,,,78,104,63,94,32,63,38,73,,,,
Australian Open,grand_slam,hard,2025-01-14,2XCrQXqf,Mannarino A.,Khachanov K.,Khachanov K.,0:3,0,mannarino-adrian,khachanov-karen,4,6,,,,,30,47,44,53,26,59,14,28,,,,
Australian Open,grand_slam,hard,2025-01-14,rPyY59cn,Cerundolo F.,Bublik A.,Bublik A.,3:0,3,cerundolo-francisco,bublik-alexander,6,10,,,,,42,50,41,57,19,33,14,49,,,,
Australian Open,grand_slam,hard,2025-01-14,O0tQxBTa,Diaz Acosta F.,Bergs Z.,Bergs Z.,3:2,3,diaz-acosta-facundo,bergs-zizou,8,12,,,,,72,93,64,86,31,61,40,75,,,,
Australian Open,grand_slam,hard,2025-01-14,I9QHKWeL,Boyer T.,Coria F.,Coria F.,3:2,3,boyer-tristan,coria-federico,10,10,,,,,78,97,72,104,24,42,28,59,,,,
Australian Open,grand_slam,hard,2025-01-14,bwVGBYU0,Van De Zandschulp B.,De Minaur A.,De Minaur A.,0:3,0,van-de-zandschulp-botic,de-minaur-alex,5,13,,,,,29,45,48,59,21,45,17,34,,,,
Australian Open,grand_slam,hard,2025-01-14,2By8Df0l,Fritz T.,Brooksby J.,Brooksby J.,3:0,3,fritz-taylor,brooksby-jenson,7,1,,,,,39,47,31,47,14,23,7,33,,,,
Australian Open,grand_slam,hard,2025-01-14,G484BSI7,Coric B.,Garin C.,Garin C.,0:3,0,coric-borna,garin-cristian,3,7,,,,,27,44,30,34,18,41,20,28,,,,
Australian Open,grand_slam,hard,2025-01-14,IsrtZSSO,Comesana F.,Altmaier D.,Altmaier D.,2:3,2,comesana-francisco,altmaier-daniel,18,13,,,,,78,92,74,84,24,54,26,48,,,,
Australian Open,grand_slam,hard,2025-01-14,Wp8FmSsI,Monfils G.,Mpetshi Perricard G.,Mpetshi Perricard G.,3:2,3,monfils-gael,mpetshi-perricard-giovanni,18,19,,,,,86,102,84,113,42,72,42,68,,,,
Australian Open,grand_slam,hard,2025-01-14,dC9zW2GF,Shelton B.,Nakashima B.,Nakashima B.,3:0,3,shelton-ben,nakashima-brandon,12,9,,,,,49,67,52,73,30,46,22,38,,,,
Australian Open,grand_slam,hard,2025-01-14,OAVVRm3l,Carreno Busta P.,Majchrzak K.,Majchrzak K.,3:0,3,carreno-busta-pablo,majchrzak-kamil,6,4,,,,,46,62,43,62,14,24,12,26,,,,
Australian Open,grand_slam,hard,2025-01-14,AcGjOBE6,Bautista Agut R.,Shapovalov D.,Shapovalov D.,1:3,1,bautista-agut-roberto,shapovalov-denis,2,24,,,,,59,99,55,63,22,37,26,68,,,,
Australian Open,grand_slam,hard,2025-01-14,ULBbiArg,Arnaldi M.,Musetti L.,Musetti L.,1:3,1,arnaldi-matteo,musetti-lorenzo,7,6,,,,,60,96,56,89,40,87,30,58,,,,
Australian Open,grand_slam,hard,2025-01-14,d0oiZVAE,Rublev A.,Fonseca J.,Fonseca J.,0:3,0,rublev-andrey,fonseca-joao,13,14,,,,,50,73,66,84,18,32,19,36,,,,
Australian Open,grand_slam,hard,2025-01-14,Qm57klD5,Sonego L.,Wawrinka S.,Wawrinka S.,3:1,3,sonego-lorenzo,wawrinka-stan,12,6,,,,,69,82,41,56,27,50,40,56,,,,
Australian Open,grand_slam,hard,2025-01-14,GzwIvXbm,Popyrin A.,Moutet C.,Moutet C.,1:3,1,popyrin-alexei,moutet-corentin,1,6,,,,,62,93,54,72,20,51,30,52,,,,
Australian Open,grand_slam,hard,2025-01-14,A75dDlle,Hijikata R.,Krueger M.,Krueger M.,0:3,0,hijikata-rinky,krueger-mitchell,8,6,,,,,37,57,42,62,18,46,11,17,,,,
Australian Open,grand_slam,hard,2025-01-14,GvPDx5H6,Ugo Carabelli C.,Tien L.,Tien L.,2:3,2,ugo-carabelli-camilo,tien-learner,10,7,,,,,81,112,74,102,26,66,29,66,,,,
Australian Open,grand_slam,hard,2025-01-14,d8DjgWDt,Samrej K.,Medvedev D.,Medvedev D.,2:3,2,samrej-kasidit,medvedev-daniil,4,24,,,,,59,91,53,58,29,64,28,46,,,,
Australian Open,grand_slam,hard,2025-01-15,zqOnf0Bm,Djokovic N.,Faria J.,Faria J.,3:1,3,djokovic-novak,faria-jaime,14,14,,,,,56,74,40,63,22,39,17,44,,,,
Australian Open,grand_slam,hard,2025-01-15,pSrrdkZj,Opelka R.,Machac T.,Machac T.,2:3,2,opelka-reilly,machac-tomas,40,16,,,,,102,115,88,105,24,58,36,62,,,,
Australian Open,grand_slam,hard,2025-01-15,6ZWoraM7,Lehecka J.,Gaston H.,Gaston H.,1:0,1,lehecka-jiri,gaston-hugo,6,1,,,,,19,19,23,39,11,25,5,18,,,,
Australian Open,grand_slam,hard,2025-01-15,4lafPuCD,Bonzi B.,Passaro F.,Passaro F.,3:1,3,bonzi-benjamin,passaro-francesco,2,8,,,,,54,75,50,71,19,29,18,29,,,,
Australian Open,grand_slam,hard,2025-01-15,rqMLE3Hc,Draper J.,Kokkinakis T.,Kokkinakis T.,3:2,3,draper-jack,kokkinakis-thanasi,12,11,,,,,69,97,86,115,40,60,19,49,,,,
Australian Open,grand_slam,hard,2025-01-15,4bAUCsnA,Vukic A.,Korda S.,Korda S.,3:2,3,vukic-aleksandar,korda-sebastian,17,21,,,,,66,94,61,81,33,56,29,50,,,,
Australian Open,grand_slam,hard,2025-01-15,ITtpoJvA,Thompson J.,Borges N.,Borges N.,0:3,0,thompson-jordan,borges-nuno,6,6,,,,,32,51,46,62,14,30,15,19,,,,
Australian Open,grand_slam,hard,2025-01-15,lxHbtvnC,Nishioka Y.,Alcaraz Garfia C.,Alcaraz Garfia C.,0:3,0,nishioka-yoshihito,alcaraz-garfia-carlos,1,14,,,,,19,33,32,36,11,28,17,24,,,,
Australian Open,grand_slam,hard,2025-01-15,dtkjkAJM,Ruud C.,Mensik J.,Mensik J.,1:3,1,ruud-casper,mensik-jakub,7,22,,,,,47,75,46,65,22,46,28,43,,,,
Australian Open,grand_slam,hard,2025-01-15,YmXXUzPh,Davidovich Fokina A.,Auger Aliassime F.,Auger Aliassime F.,3:2,3,davidovich-fokina-alejandro,auger-aliassime-felix,7,11,,,,,78,112,69,108,36,64,22,44,,,,
Australian Open,grand_slam,hard,2025-01-15,CSVedRQk,Carballes Baena R.,Duckworth J.,Duckworth J.,3:0,3,carballes-baena-roberto,duckworth-james,10,6,,,,,42,51,41,67,19,26,22,44,,,,
Australian Open,grand_slam,hard,2025-01-15,GGAQF2E4,Nishikori K.,Paul T.,Paul T.,1:3,1,nishikori-kei,paul-tommy,0,8,,,,,41,86,55,74,18,43,11,30,,,,
Australian Open,grand_slam,hard,2025-01-15,OGYEVePG,Humbert U.,Habib H.,Habib H.,3:0,3,humbert-ugo,habib-hady,17,11,,,,,43,50,42,58,18,25,14,31,,,,
Australian Open,grand_slam,hard,2025-01-15,2N53wauo,Halys Q.,Arthur F.,Arthur F.,1:3,1,halys-quentin,arthur-fils,24,12,,,,,59,81,64,79,23,44,24,41,,,,
Australian Open,grand_slam,hard,2025-01-15,8MmsMFa4,Cazaux A.,Fearnley J.,Fearnley J.,1:3,1,cazaux-arthur,fearnley-jacob,5,9,,,,,41,62,51,69,21,44,21,42,,,,
