ï»¿ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,date_norm,tourn_mapped,winner_norm,loser_norm,W_aces,L_aces,W_df,L_df,W_1stin,L_1stin,W_1stwon,W_1sttot,L_1stwon,L_1sttot,W_2ndwon,W_2ndtot,L_2ndwon,L_2ndtot,W_bpsaved,W_bpfaced,L_bpsaved,L_bpfaced,fs_match_id
5.0,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Gaston H.,Jasika O.,81.0,179.0,703.0,323.0,6.0,2.0,3.0,6.0,6.0,2.0,6.0,2.0,,,3.0,1.0,Completed,1.36,3.2,1.38,3.31,1.38,3.31,1.36,3.11,2025-01-12,australianopen,gaston h,jasika o,12.0,2.0,,,,,46.0,61.0,51.0,85.0,22.0,40.0,9.0,24.0,,,,,hd0v9Z9e
5.0,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Fils A.,Virtanen O.,21.0,93.0,2280.0,627.0,3.0,6.0,7.0,6.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,1.13,6.0,1.13,7.31,1.14,7.31,1.12,6.15,2025-01-12,australianopen,fils a,virtanen o,,,,,,,,,,,,,,,,,,,
5.0,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Nishikori K.,Monteiro T.,76.0,105.0,743.0,566.0,4.0,6.0,6.0,7.0,7.0,5.0,6.0,2.0,6.0,3.0,3.0,2.0,Completed,1.2,4.5,1.22,4.82,1.25,4.82,1.21,4.41,2025-01-12,australianopen,nishikori k,monteiro t,17.0,21.0,,,,,82.0,101.0,80.0,108.0,22.0,39.0,31.0,61.0,,,,,2yavO52D
5.0,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Ruud C.,Munar J.,6.0,62.0,4210.0,922.0,6.0,3.0,1.0,6.0,7.0,5.0,2.0,6.0,6.0,1.0,3.0,2.0,Completed,1.17,5.0,1.18,5.66,1.18,5.66,1.17,5.12,2025-01-12,australianopen,ruud c,munar j,7.0,10.0,,,,,57.0,83.0,66.0,90.0,23.0,40.0,18.0,48.0,,,,,tzGRsDwK
5.0,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Habib H.,Bu Y.,219.0,67.0,264.0,784.0,7.0,6.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,3.2,1.36,3.39,1.37,3.39,1.38,3.16,1.36,2025-01-12,australianopen,habib h,bu y,,,,,,,,,,,,,,,,,,,
5.0,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Lehecka J.,Tu L.,29.0,168.0,1660.0,342.0,6.0,1.0,3.0,6.0,6.0,3.0,7.0,6.0,,,3.0,1.0,Completed,1.07,9.0,1.11,8.2,1.12,9.0,1.09,7.54,2025-01-12,australianopen,lehecka j,tu l,13.0,8.0,,,,,54.0,67.0,50.0,66.0,26.0,36.0,21.0,41.0,,,,,QRiI3vYF
5.0,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Machac T.,Nagal S.,25.0,91.0,1805.0,635.0,6.0,3.0,6.0,1.0,7.0,5.0,,,,,3.0,0.0,Completed,1.04,13.0,1.06,12.67,1.07,13.0,1.05,10.52,2025-01-12,australianopen,machac t,nagal s,7.0,0.0,,,,,31.0,40.0,31.0,58.0,25.0,42.0,10.0,27.0,,,,,6y0Q1I2S
5.0,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Martinez P.,Darderi L.,44.0,45.0,1220.0,1198.0,6.0,3.0,4.0,1.0,,,,,,,1.0,0.0,Retired,1.62,2.3,1.63,2.45,1.63,2.45,1.61,2.32,2025-01-12,australianopen,martinez p,darderi l,1.0,3.0,,,,,23.0,32.0,20.0,36.0,6.0,10.0,6.0,21.0,,,,,voQ6Y806
5.0,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Humbert U.,Gigante M.,14.0,145.0,2765.0,403.0,7.0,6.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,Completed,1.08,8.0,1.11,8.5,1.11,8.5,1.09,7.38,2025-01-12,australianopen,humbert u,gigante m,9.0,16.0,,,,,50.0,67.0,58.0,75.0,25.0,40.0,21.0,44.0,,,,,4QlaX9uR
5.0,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Opelka R.,Onclin G.,170.0,239.0,341.0,242.0,3.0,6.0,7.0,6.0,6.0,3.0,6.0,2.0,,,3.0,1.0,Completed,1.29,3.75,1.33,3.68,1.33,3.75,1.29,3.59,2025-01-12,australianopen,opelka r,onclin g,38.0,2.0,,,,,85.0,115.0,54.0,83.0,15.0,45.0,20.0,38.0,,,,,dOTwQRX0
5.0,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Halys Q.,Walton A.,74.0,90.0,756.0,636.0,4.0,6.0,4.0,6.0,6.0,4.0,7.0,6.0,7.0,5.0,3.0,2.0,Completed,2.0,1.8,2.01,1.9,2.01,1.91,1.94,1.87,2025-01-12,australianopen,halys q,walton a,31.0,11.0,,,,,83.0,99.0,78.0,105.0,32.0,65.0,35.0,52.0,,,,,nBTEWnVI
5.0,Melbourne,Australian Open,12/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Zverev A.,Pouille L.,2.0,103.0,7635.0,575.0,6.0,4.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.02,19.0,1.03,20.73,1.04,20.73,1.02,14.24,2025-01-12,australianopen,zverev a,pouille l,18.0,3.0,,,,,50.0,64.0,45.0,62.0,15.0,24.0,21.0,51.0,,,,,IVybzVVg
5.0,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Tiafoe F.,Rinderknech A.,16.0,61.0,2560.0,927.0,7.0,6.0,6.0,3.0,4.0,6.0,6.0,7.0,6.0,3.0,3.0,2.0,Completed,1.25,4.0,1.27,4.18,1.3,4.18,1.27,3.8,2025-01-13,australianopen,tiafoe f,rinderknech a,14.0,33.0,,,,,77.0,98.0,79.0,94.0,40.0,71.0,30.0,67.0,,,,,h0dOo6CU
5.0,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Carballes Baena R.,Tabilo A.,57.0,26.0,981.0,1705.0,1.0,6.0,6.0,2.0,6.0,3.0,7.0,6.0,,,3.0,1.0,Completed,2.63,1.5,2.79,1.5,2.79,1.53,2.61,1.5,2025-01-13,australianopen,carballes baena r,tabilo a,7.0,9.0,,,,,49.0,75.0,46.0,66.0,23.0,38.0,17.0,44.0,,,,,A5Ykxi1s
5.0,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Mensik J.,Basilashvili N.,48.0,206.0,1162.0,273.0,6.0,1.0,6.0,7.0,6.0,3.0,6.0,3.0,,,3.0,1.0,Completed,1.17,5.0,1.16,6.32,1.18,6.32,1.16,5.16,2025-01-13,australianopen,mensik j,basilashvili n,31.0,10.0,,,,,56.0,68.0,45.0,58.0,29.0,57.0,24.0,58.0,,,,,UsiQo9fK
5.0,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Michelsen A.,Tsitsipas S.,42.0,12.0,1270.0,3195.0,7.0,5.0,6.0,3.0,2.0,6.0,6.0,4.0,,,3.0,1.0,Completed,2.5,1.53,2.44,1.63,2.53,1.63,2.41,1.57,2025-01-13,australianopen,michelsen a,tsitsipas s,8.0,13.0,,,,,59.0,85.0,50.0,72.0,20.0,39.0,23.0,44.0,,,,,WjTO9CaD
5.0,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Borges N.,Muller A.,33.0,58.0,1445.0,965.0,6.0,7.0,6.0,3.0,6.0,2.0,7.0,5.0,,,3.0,1.0,Completed,1.67,2.2,1.7,2.3,1.7,2.3,1.67,2.21,2025-01-13,australianopen,borges n,muller a,20.0,7.0,,,,,66.0,85.0,58.0,83.0,21.0,38.0,19.0,42.0,,,,,fJipVZgE
5.0,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Marozsan F.,Seyboth Wild T.,59.0,79.0,960.0,732.0,6.0,3.0,6.0,7.0,7.0,5.0,5.0,7.0,7.0,5.0,3.0,2.0,Completed,1.4,3.0,1.43,3.1,1.44,3.1,1.41,2.91,2025-01-13,australianopen,marozsan f,seyboth wild t,20.0,23.0,,,,,88.0,118.0,102.0,132.0,32.0,47.0,24.0,58.0,,,,,viVt4mSb
5.0,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Duckworth J.,Stricker D.,89.0,304.0,637.0,173.0,6.0,2.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,1.73,2.1,1.83,2.08,1.83,2.12,1.73,2.09,2025-01-13,australianopen,duckworth j,stricker d,10.0,7.0,,,,,34.0,40.0,30.0,45.0,19.0,29.0,15.0,33.0,,,,,ltTuK9oD
5.0,Melbourne,Australian Open,13/01/2025,Grand Slam,Outdoor,Hard,1st Round,5.0,Mccabe J.,Landaluce M.,258.0,142.0,216.0,414.0,6.0,4.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,3.5,1.3,3.92,1.3,3.92,1.32,3.56,1.3,2025-01-13,australianopen,mccabe j,landaluce m,14.0,9.0,,,,,52.0,63.0,41.0,54.0,12.0,19.0,15.0,38.0,,,,,EuCmFAJr
